Wavelength,Norm,Afternoon
400,7.00E-04,0.007
404,7.00E-04,0.007
408,8.00E-04,0.008
412,9.00E-04,0.009
416,9.00E-04,0.009
420,1.00E-03,0.01
424,1.10E-03,0.011
428,1.20E-03,0.012
432,1.40E-03,0.014
436,1.50E-03,0.015
440,1.70E-03,0.017
444,2.00E-03,0.02
448,2.30E-03,0.023
452,2.80E-03,0.028
456,3.50E-03,0.035
460,4.50E-03,0.045
464,5.80E-03,0.058
468,7.70E-03,0.077
472,1.03E-02,0.103
476,1.41E-02,0.141
480,1.93E-02,0.193
484,2.64E-02,0.264
488,3.62E-02,0.362
492,4.94E-02,0.494
496,6.78E-02,0.678
500,9.44E-02,0.944
504,1.41E-01,1.405
508,2.95E-01,2.949
512,1.02E+00,10.186
516,1.31E+00,13.109
520,1.40E+00,13.967
524,1.57E+00,15.712
528,1.79E+00,17.889
532,1.92E+00,19.211
536,1.97E+00,19.731
540,1.80E+00,18.017
544,1.49E+00,14.882
548,1.53E+00,15.319
552,1.64E+00,16.378
556,1.76E+00,17.639
560,1.90E+00,18.963
564,2.03E+00,20.342
568,2.19E+00,21.868
572,2.37E+00,23.737
576,2.62E+00,26.177
580,2.91E+00,29.111
584,3.19E+00,31.907
588,3.39E+00,33.874
592,3.49E+00,34.937
596,3.54E+00,35.421
600,3.55E+00,35.462
604,3.50E+00,35.049
608,3.43E+00,34.329
612,3.36E+00,33.617
616,3.32E+00,33.229
620,3.31E+00,33.074
624,3.31E+00,33.104
628,3.34E+00,33.423
632,3.57E+00,35.679
636,4.18E+00,41.796
640,4.27E+00,42.697
644,2.86E+00,28.56
648,1.63E+00,16.315
652,1.15E+00,11.512
656,8.97E-01,8.966
660,7.08E-01,7.08
664,5.62E-01,5.62
668,4.48E-01,4.484
672,3.60E-01,3.598
676,2.91E-01,2.905
680,2.36E-01,2.363
684,1.94E-01,1.938
688,1.60E-01,1.603
692,1.34E-01,1.338
696,1.13E-01,1.127
