Wavelength,Norm,Mornign,
400,1.50E-03,0.015,58.134
404,2.00E-03,0.02,
408,2.90E-03,0.029,
412,5.40E-03,0.054,
416,1.43E-02,0.143,
420,4.60E-02,0.46,
424,1.46E-01,1.463,
428,4.12E-01,4.117,
432,9.89E-01,9.888,
436,2.00E+00,20.027,
440,3.41E+00,34.057,
444,4.86E+00,48.559,
448,5.80E+00,58.026,
452,5.81E+00,58.134,
456,4.90E+00,48.958,
460,3.52E+00,35.185,
464,2.35E+00,23.54,
468,2.01E+00,20.05,
472,2.74E+00,27.387,
476,4.12E+00,41.192,
480,5.08E+00,50.799,
484,4.93E+00,49.305,
488,4.08E+00,40.772,
492,3.30E+00,33.031,
496,2.85E+00,28.477,
500,2.51E+00,25.1,
504,2.15E+00,21.5,
508,1.91E+00,19.086,
512,2.39E+00,23.937,
516,2.72E+00,27.21,
520,3.12E+00,31.157,
524,3.73E+00,37.27,
528,4.27E+00,42.748,
532,4.45E+00,44.48,
536,4.24E+00,42.411,
540,3.66E+00,36.608,
544,2.97E+00,29.667,
548,2.75E+00,27.452,
552,2.68E+00,26.841,
556,2.69E+00,26.865,
560,2.71E+00,27.053,
564,2.74E+00,27.36,
568,2.79E+00,27.945,
572,2.90E+00,29.033,
576,3.08E+00,30.838,
580,3.33E+00,33.267,
584,3.57E+00,35.691,
588,3.74E+00,37.42,
592,3.84E+00,38.367,
596,3.88E+00,38.823,
600,3.89E+00,38.884,
604,3.85E+00,38.505,
608,3.78E+00,37.818,
612,3.71E+00,37.135,
616,3.68E+00,36.775,
620,3.66E+00,36.629,
624,3.66E+00,36.614,
628,3.68E+00,36.789,
632,3.88E+00,38.767,
636,4.45E+00,44.475,
640,4.49E+00,44.876,
644,3.02E+00,30.215,
648,1.75E+00,17.485,
652,1.23E+00,12.283,
656,9.44E-01,9.443,
660,7.36E-01,7.359,
664,5.78E-01,5.777,
668,4.57E-01,4.571,
672,3.65E-01,3.646,
676,2.93E-01,2.933,
680,2.38E-01,2.379,
684,1.95E-01,1.948,
688,1.61E-01,1.609,
692,1.34E-01,1.341,
696,1.13E-01,1.129,
